pair,gene,gene_name,log2fc,cav_r
neutrophil__breast__normal_vs_breast_cancer,ENSG00000106066,CPVL,0.7199825465562641,0.4521127676240778
neutrophil__breast__normal_vs_breast_cancer,ENSG00000168961,LGALS9,0.7166482084664969,0.3727955206917153
neutrophil__breast__normal_vs_breast_cancer,ENSG00000148180,GSN,0.7155066593579954,0.4859308266788646
neutrophil__breast__normal_vs_breast_cancer,ENSG00000152291,TGOLN2,0.71443075428102,0.2889276910597474
neutrophil__breast__normal_vs_breast_cancer,ENSG00000026297,RNASET2,0.7079337787769472,0.3637485860528895
neutrophil__breast__normal_vs_breast_cancer,ENSG00000117410,ATP6V0B,0.705147948480753,0.4133318125160872
neutrophil__breast__normal_vs_breast_cancer,ENSG00000051523,CYBA,0.7047012534383248,0.4590139630024782
neutrophil__breast__normal_vs_breast_cancer,ENSG00000159189,C1QC,0.7038605008958022,0.4937775469053597
neutrophil__breast__normal_vs_breast_cancer,ENSG00000116741,RGS2,0.7003291322773758,0.3347606640881299
neutrophil__breast__normal_vs_breast_cancer,ENSG00000161921,CXCL16,0.6993933505923575,0.4123556792269186
neutrophil__breast__normal_vs_breast_cancer,ENSG00000011422,PLAUR,0.6959800341658465,0.3584189871467301
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204628,RACK1,0.6951937622195888,0.1261277340509524
neutrophil__breast__normal_vs_breast_cancer,ENSG00000107742,SPOCK2,-0.6937409653767709,-0.2607794377422717
neutrophil__breast__normal_vs_breast_cancer,ENSG00000187764,SEMA4D,-0.6936769724089438,-0.0616775626266264
neutrophil__breast__normal_vs_breast_cancer,ENSG00000143110,C1orf162,0.687858934458316,0.3477005968972904
neutrophil__breast__normal_vs_breast_cancer,ENSG00000197405,C5AR1,0.6840248947877924,0.4014618911477127
neutrophil__breast__normal_vs_breast_cancer,ENSG00000120738,EGR1,0.6833209413651904,0.2541455675292371
neutrophil__breast__normal_vs_breast_cancer,ENSG00000162734,PEA15,0.6818575290258173,0.3866830044342147
