pair,l2_score,is_baseline
epithelial_cell__lung10x__normal_vs_lung_cancer,4.391406,False
epithelial_cell__lung10x__normal_vs_lung_cancer,6.09644,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.595017,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.6111166,False
epithelial_cell__lung10x__normal_vs_lung_cancer,5.4829693,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.3699996,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.7539291,False
epithelial_cell__lung10x__normal_vs_lung_cancer,5.770237,False
epithelial_cell__lung10x__normal_vs_lung_cancer,1.9613788,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.6993692,False
epithelial_cell__lung10x__normal_vs_lung_cancer,2.1956623,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.105113,False
epithelial_cell__lung10x__normal_vs_lung_cancer,5.4087405,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.131441,False
epithelial_cell__lung10x__normal_vs_lung_cancer,2.3547547,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.7624342,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.9920845,False
epithelial_cell__lung10x__normal_vs_lung_cancer,5.2624345,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.9113874,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.4215884,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.5806115,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.193904,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.5695999,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.635577,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.0094938,False
epithelial_cell__lung10x__normal_vs_lung_cancer,6.273592,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.9800737,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.2280164,False
epithelial_cell__lung10x__normal_vs_lung_cancer,5.0705395,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.4928455,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.23201,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.2460275,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.199386,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.7692537,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.7376184,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.1189337,False
epithelial_cell__lung10x__normal_vs_lung_cancer,2.8136873,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.148746,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.9391642,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.356372,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.6012964,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.8827567,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.666286,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.8449361,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.2924786,False
epithelial_cell__lung10x__normal_vs_lung_cancer,6.4240456,False
epithelial_cell__lung10x__normal_vs_lung_cancer,6.6450105,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.9535027,False
epithelial_cell__lung10x__normal_vs_lung_cancer,5.188533,False
epithelial_cell__lung10x__normal_vs_lung_cancer,5.4304914,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.5156045,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.6833074,False
epithelial_cell__lung10x__normal_vs_lung_cancer,7.078658,False
epithelial_cell__lung10x__normal_vs_lung_cancer,2.8472497,False
epithelial_cell__lung10x__normal_vs_lung_cancer,6.300743,False
epithelial_cell__lung10x__normal_vs_lung_cancer,2.4726405,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.3250904,False
epithelial_cell__lung10x__normal_vs_lung_cancer,5.415499,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.8675165,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.9881525,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.5306654,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.9580579,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.0992653,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.8178954,False
epithelial_cell__lung10x__normal_vs_lung_cancer,5.247293,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.0598404,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.4694283,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.585332,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.709467,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.9808564,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.848788,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.4147692,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.465179,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.6282778,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.966718,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.8470855,False
epithelial_cell__lung10x__normal_vs_lung_cancer,2.228511,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.5957482,False
epithelial_cell__lung10x__normal_vs_lung_cancer,1.8337975,False
epithelial_cell__lung10x__normal_vs_lung_cancer,5.3964996,False
epithelial_cell__lung10x__normal_vs_lung_cancer,6.307695,False
epithelial_cell__lung10x__normal_vs_lung_cancer,2.552095,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.936417,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.565935,False
