pair,level,gene,gene_name,log2fc,cav_r
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000204592,HLA-E,-0.6180963037479323,0.166054479835096
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000117450,PRDX1,0.6165942065878489,0.04537611126331348
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000100280,AP1B1,0.615614597328683,0.05632303952707207
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000167815,PRDX2,-0.6155634047177827,-0.006842836011815201
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000131981,LGALS3,0.6134708986837087,0.005010720818566362
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000156508,EEF1A1,-0.6114655762790102,0.207922254932582
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000173391,OLR1,0.6109331108400934,0.01694058681824816
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000136156,ITM2B,0.6109208725936752,0.1426902054656502
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000101294,HM13,0.605745333704759,0.12405223527539429
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000069849,ATP1B3,0.6053985556146941,0.05310709959928053
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000112149,CD83,0.6052933498419444,0.028222302403417113
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000120727,PAIP2,0.603259772381244,0.07649160694878675
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000049860,HEXB,0.6020190851799413,0.05926875698382955
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000137491,SLCO2B1,0.5981510853491154,0.1050776001926696
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000163563,MNDA,0.5953669580931855,-0.011006006342824698
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000147443,DOK2,0.5951025854601426,0.06621561059533289
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000233927,RPS28,-0.5926906099216557,0.0841896836356009
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000198786,MT-ND5,0.5901859599011542,0.1119703942432045
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000147872,PLIN2,0.5892244868303398,-0.03485426897235983
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000092841,MYL6,-0.5871689768664983,0.07660987710508527
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000131446,MGAT1,0.5844410498181694,0.08834989582659614
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000136819,C9orf78,-0.5839082238998164,0.02518485292517145
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000081320,STK17B,-0.5831385120443217,0.0895452053773409
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000174021,GNG5,0.5804630034394695,0.030621335901349807
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000187474,FPR3,0.5797043817893943,0.009615351827851617
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000221983,UBA52,0.5796835998753885,0.03232790984783749
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000048740,CELF2,-0.5788805040825475,0.0337494401117846
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000182220,ATP6AP2,0.5784690753657712,-0.012829306964009914
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000004799,PDK4,0.5773349216197051,0.026198147901731906
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000136888,ATP6V1G1,-0.5766893568327714,-0.06541125959155633
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000063177,RPL18,-0.5762998748333304,0.07647982322157215
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000239713,APOBEC3G,-0.574312334053227,0.10752976523739612
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000111144,LTA4H,0.5733976060889161,-0.06231450543273087
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000010810,FYN,-0.5725676980786474,-0.02489155627588183
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000005020,SKAP2,0.5717028839236811,0.05130170242650819
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000122566,HNRNPA2B1,0.5707526008206625,-0.015276090966375184
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000127022,CANX,0.5691763250537736,0.005025295970408656
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000144713,RPL32,-0.5679742001787068,0.073241459403032
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000158050,DUSP2,-0.5654440507054492,0.07768487370827021
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000069974,RAB27A,-0.5646452053970777,0.1893496032568204
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000168066,SF1,-0.5632931416566936,0.002492980589840918
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000108774,RAB5C,0.5630398593199589,0.08123788892254832
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000131171,SH3BGRL,0.5622938113727413,0.06570528517111444
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000198053,SIRPA,0.5622547999628615,0.06146789866580539
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000165025,SYK,0.560716275522225,0.08363173814186481
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000198821,CD247,-0.5604564671669386,0.16322167282966943
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000198951,NAGA,0.559871274718397,0.027687177564995266
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000090104,RGS1,-0.5589611703977975,0.08779525305536093
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000132002,DNAJB1,-0.5574301654340927,-0.006663867660869107
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000078596,ITM2A,-0.5574079201192307,0.07988037207052676
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000135926,TMBIM1,0.5557321167806073,0.07081745804722824
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000115268,RPS15,0.5550576290317899,0.24689026770513867
